client,,count,mean,median,var,std,min,max,download_throughput_bps,upload_throughput_bps,rtt_download_sec,rtt_upload_sec,packet_loss_percent
client01,download_throughput_bps,476,650329090.1786191,892829694.9208715,1.194969479288151e+17,345683305.82892644,25674204.596788093,932284877.8039566,,,,,
client01,upload_throughput_bps,476,714049706.6942028,878876045.2323045,8.298228809687509e+16,288066464.72103465,92256525.85085437,920076421.1796836,,,,,
client01,rtt_download_sec,476,0.044897107142857134,0.011,0.0028865969766011276,0.053727060003327255,0.004,0.224546,,,,,
client01,rtt_upload_sec,476,0.03130497058823528,0.006363499999999999,0.002170028971674922,0.04658356976096746,0.004013,0.220983,,,,,
client01,packet_loss_percent,476,0.524092595886773,0.0054758286570614,2.7851629270819704,1.6688807408206168,0.0,17.526101928952283,,,,,
client02,download_throughput_bps,500,639309508.1026304,824316656.0317224,1.0592312508702038e+17,325458330.79984355,3565907.382040578,931311158.965599,,,,,
client02,upload_throughput_bps,500,561951628.7035077,629699678.5862105,4.506851785785837e+16,212293471.06743148,91116165.6893585,915615891.651666,,,,,
client02,rtt_download_sec,500,0.039057652000000005,0.01,0.002747874881129154,0.05242017627907363,0.00268,0.223819,,,,,
client02,rtt_upload_sec,500,0.029352453999999986,0.004243,0.002318836983049984,0.0481543038891643,0.0026739999999999,0.223622,,,,,
client02,packet_loss_percent,500,0.7814279583598891,0.06545347719176345,3.5334861713055545,1.8797569447419404,0.0,20.03712508518284,,,,,
client03,download_throughput_bps,533,614429025.9619992,812469586.6125695,1.0878945636744619e+17,329832467.12148607,42786735.81958752,930328219.1604334,,,,,
client03,upload_throughput_bps,533,520971686.04746246,592229275.9287515,4.41200184612474e+16,210047657.5952405,79051339.5100438,905239067.6982464,,,,,
client03,rtt_download_sec,533,0.044533450281425885,0.01,0.003163195059601376,0.05624228889013476,0.003,0.224442,,,,,
client03,rtt_upload_sec,533,0.033029424015009363,0.004358,0.002557370439222129,0.050570450257261194,0.003,0.225119,,,,,
client03,packet_loss_percent,533,0.6780944302959588,0.0749790966504953,2.0659390842635554,1.4373374983849672,0.0,15.212664161951814,,,,,
client04,download_throughput_bps,457,583755194.9346043,799599129.067967,1.1863839974197355e+17,344439254.0666257,33275547.687706225,928510490.8477876,,,,,
client04,upload_throughput_bps,457,548960507.5327969,621087862.1154895,6.1044766103125384e+16,247072390.4104329,43689574.381275,897076790.000346,,,,,
client04,rtt_download_sec,457,0.051278921225382926,0.012,0.00305709638976571,0.055291015452473925,0.005828,0.222513,,,,,
client04,rtt_upload_sec,457,0.03762878118161925,0.0083539999999999,0.0025769116195485044,0.05076329007805251,0.005806,0.226595,,,,,
client04,packet_loss_percent,457,0.5229623579869019,0.0506324207685537,1.7300982592885712,1.3153319958430918,0.0,14.487472756597908,,,,,
client05,download_throughput_bps,482,309530969.1734707,106962886.11686599,1.1206096904077614e+17,334755088.14770263,953015.5194262756,919339345.1061014,,,,,
client05,upload_throughput_bps,482,347752207.8374727,108594534.92565626,1.2347233380597616e+17,351386302.81497335,89924432.13207763,912411366.4368076,,,,,
client05,rtt_download_sec,482,0.0451663112033195,0.01,0.0030101623389632423,0.05486494635888421,0.003,0.223947,,,,,
client05,rtt_upload_sec,482,0.02970687966804978,0.004111500000000001,0.002236007256808775,0.04728643840266229,0.003023,0.219383,,,,,
client05,packet_loss_percent,482,6.311938217503023,8.276382744124621,28.04979600738991,5.296205812408531,0.0,17.000914715110504,,,,,
client06,download_throughput_bps,533,612263202.8005759,830660442.8433529,1.1572697716163971e+17,340186679.87097865,50777159.03158857,927785807.6200593,,,,,
client06,upload_throughput_bps,533,607672702.200714,738872625.2260362,6.537039909898208e+16,255676356.15946594,9737624.755883085,900183472.5211517,,,,,
client06,rtt_download_sec,533,0.046634176360225134,0.009941,0.0031938474717883867,0.05651413515031781,0.002,0.222395,,,,,
client06,rtt_upload_sec,533,0.033717474671669787,0.003862,0.0026685867197122335,0.05165836543786721,0.002693,0.223628,,,,,
client06,packet_loss_percent,533,0.8337112756574899,0.7229609085355925,1.0355452741557172,1.0176174498089727,0.0,8.613527520454609,,,,,
client07,download_throughput_bps,539,630910308.6644634,834431294.346093,1.0990356532620864e+17,331517066.4177165,38972175.42311889,926884294.6394469,,,,,
client07,upload_throughput_bps,539,491903382.6510663,550863154.2568594,3.695907574125655e+16,192247433.64023498,333694.17229544383,860342157.5902063,,,,,
client07,rtt_download_sec,539,0.046375161410018545,0.013,0.003322077365622597,0.05763746494791905,0.005284,0.227413,,,,,
client07,rtt_upload_sec,539,0.03448354545454544,0.008957,0.0026572835380439335,0.051548846136881994,0.004961,0.227269,,,,,
client07,packet_loss_percent,539,0.5324965821285166,0.0884751746101815,2.430099671904142,1.5588776962623276,0.0,19.754547682453524,,,,,
client08,download_throughput_bps,625,233889619.76079068,96396453.32678296,8.546441364843734e+16,292342972.6339208,20410608.99110114,928498999.5930076,,,,,
client08,upload_throughput_bps,625,225898541.23469296,97324495.51262334,6.238042166538857e+16,249760728.82939097,43433976.50395722,906899033.0279292,,,,,
client08,rtt_download_sec,625,0.0544194384,0.01,0.004538535806919678,0.0673686559678882,0.003,0.223966,,,,,
client08,rtt_upload_sec,625,0.040776924799999996,0.005875,0.003860977714483118,0.0621367662055495,0.003856,0.22594,,,,,
client08,packet_loss_percent,625,5.060996171339144,3.3348430218268508,36.95639142485575,6.079176870667258,0.0,22.389090203327207,,,,,
client09,download_throughput_bps,498,645240035.0203882,894133515.4364446,1.232736264304535e+17,351103441.2113523,2467156.634339911,933267053.9356384,,,,,
