,MLE,Bayes E[mu|r],Bayes E[p|r],Bayes E[beta|r]
RTT download (mu),0.04847744420903954,0.04982118644067797,,
RTT upload (mu),0.03749119392655366,0.03898611178369653,,
Loss p,0.019001553672316384,,0.022636996514529252,
Tput down (beta),2.952534275920793e-09,,,2.903605209772731e-09
Tput up (beta),3.1579948060858855e-09,,,3.3721883685594903e-09
