model,theta1,theta2
Normal RTT download,0.04847744420903954,0.004606154907322875
Normal RTT upload,0.03749119392655366,0.003735033267537957
Gamma throughput download,1.4959501019382841,2.952534275920793e-09
Gamma throughput upload,1.1940776593795845,3.1579948060858855e-09
Binomial perda (p),0.019001553672316384,
